iso3,country,year,summary_abs_red,draw_mean_abs_red,available_draws,mean_minus_summary,absolute_difference
HND,Honduras,2018,-1.2,-1.0209624099731445,100,0.1790375900268555,0.1790375900268555
HND,Honduras,2019,-1.1,-1.1170600128173829,100,-0.017060012817382786,0.017060012817382786
HND,Honduras,2020,-1.0,-0.8099951171875,100,0.19000488281250005,0.19000488281250005
HND,Honduras,2021,-1.0,-0.5792588424682618,100,0.42074115753173824,0.42074115753173824
HND,Honduras,2022,-0.8,-0.5384910583496094,100,0.2615089416503906,0.2615089416503906
HND,Honduras,2023,-0.8,-0.6310047912597656,100,0.16899520874023444,0.16899520874023444
HND,Honduras,2024,-0.8,-0.3440412139892578,100,0.45595878601074225,0.45595878601074225
MEX,Mexico,1990,0.8,0.5426210784912109,100,-0.25737892150878916,0.25737892150878916
MEX,Mexico,1991,0.8,0.4156491470336914,100,-0.38435085296630866,0.38435085296630866
MEX,Mexico,1992,0.8,0.4979890823364258,100,-0.30201091766357424,0.30201091766357424
MEX,Mexico,1993,1.0,0.7300836944580078,100,-0.2699163055419922,0.2699163055419922
MEX,Mexico,1994,1.0,0.8312673950195313,100,-0.16873260498046871,0.16873260498046871
MEX,Mexico,1995,1.0,1.0041724395751954,100,0.004172439575195419,0.004172439575195419
MEX,Mexico,1996,1.0,1.099645004272461,100,0.09964500427246104,0.09964500427246104
MEX,Mexico,1997,1.1,1.1616987228393554,100,0.06169872283935529,0.06169872283935529
MEX,Mexico,1998,1.1,1.1295252227783203,100,0.02952522277832026,0.02952522277832026
MEX,Mexico,1999,1.2,1.271094093322754,100,0.07109409332275396,0.07109409332275396
MEX,Mexico,2000,1.1,1.042211456298828,100,-0.057788543701172035,0.057788543701172035
MEX,Mexico,2001,1.3,1.1631354522705077,100,-0.1368645477294923,0.1368645477294923
MEX,Mexico,2002,1.5,1.3447545623779298,100,-0.15524543762207021,0.15524543762207021
MEX,Mexico,2003,1.6,1.438257598876953,100,-0.16174240112304705,0.16174240112304705
MEX,Mexico,2004,1.7,1.5965701293945314,100,-0.1034298706054686,0.1034298706054686
MEX,Mexico,2005,1.6,1.6148905181884765,100,0.01489051818847642,0.01489051818847642
MEX,Mexico,2006,1.6,1.5986906814575195,100,-0.0013093185424806197,0.0013093185424806197
MEX,Mexico,2007,1.7,1.6974706268310547,100,-0.0025293731689453036,0.0025293731689453036
MEX,Mexico,2008,1.9,1.7563917541503906,100,-0.1436082458496093,0.1436082458496093
MEX,Mexico,2009,2.0,1.9707491683959961,100,-0.02925083160400388,0.02925083160400388
MEX,Mexico,2010,2.2,2.2793727493286133,100,0.07937274932861316,0.07937274932861316
MEX,Mexico,2011,2.2,2.163173408508301,100,-0.0368265914916992,0.0368265914916992
MEX,Mexico,2012,2.3,2.288538703918457,100,-0.011461296081543004,0.011461296081543004
MEX,Mexico,2013,2.4,2.655131530761719,100,0.255131530761719,0.255131530761719
MEX,Mexico,2014,2.5,2.5619858169555663,100,0.061985816955566264,0.061985816955566264
MEX,Mexico,2015,2.5,2.579323310852051,100,0.0793233108520508,0.0793233108520508
MEX,Mexico,2016,2.5,2.5855149841308593,100,0.08551498413085934,0.08551498413085934
MEX,Mexico,2017,2.4,2.3348498916625977,100,-0.0651501083374022,0.0651501083374022
MEX,Mexico,2018,2.4,2.385104064941406,100,-0.014895935058593768,0.014895935058593768
MEX,Mexico,2019,2.4,2.4800370788574218,100,0.08003707885742184,0.08003707885742184
MEX,Mexico,2020,2.6,2.591830406188965,100,-0.008169593811035103,0.008169593811035103
MEX,Mexico,2021,2.7,2.7419686126708984,100,0.04196861267089824,0.04196861267089824
MEX,Mexico,2022,2.8,2.837993278503418,100,0.03799327850341827,0.03799327850341827
MEX,Mexico,2023,2.8,2.849336738586426,100,0.049336738586426065,0.049336738586426065
MEX,Mexico,2024,2.9,2.706417121887207,100,-0.19358287811279284,0.19358287811279284
NIC,Nicaragua,1993,3.4,3.6687767791748045,100,0.2687767791748046,0.2687767791748046
NIC,Nicaragua,1994,3.4,3.712584457397461,100,0.312584457397461,0.312584457397461
NIC,Nicaragua,1995,3.6,3.856035614013672,100,0.2560356140136717,0.2560356140136717
NIC,Nicaragua,1996,3.6,3.9946428680419923,100,0.3946428680419922,0.3946428680419922
NIC,Nicaragua,1997,3.8,4.057412605285645,100,0.25741260528564514,0.25741260528564514
NIC,Nicaragua,1998,3.9,4.372803535461426,100,0.47280353546142573,0.47280353546142573
NIC,Nicaragua,1999,4.0,4.396637496948242,100,0.3966374969482418,0.3966374969482418
NIC,Nicaragua,2000,4.1,4.484061775207519,100,0.3840617752075195,0.3840617752075195
NIC,Nicaragua,2001,4.3,4.585088043212891,100,0.28508804321289105,0.28508804321289105
NIC,Nicaragua,2002,4.5,4.9536951065063475,100,0.4536951065063475,0.4536951065063475
NIC,Nicaragua,2003,4.7,4.9468123245239255,100,0.24681232452392532,0.24681232452392532
NIC,Nicaragua,2004,4.8,5.019326362609863,100,0.2193263626098636,0.2193263626098636
NIC,Nicaragua,2005,5.0,5.230357093811035,100,0.23035709381103509,0.23035709381103509
NIC,Nicaragua,2006,5.2,5.405751342773438,100,0.20575134277343743,0.20575134277343743
